wyear,species,country,ysw,WNS,years,x_lags,lambda,country2,mlambda,ysw2,country3,site
2017,MUHI,japan,1000,1,2017,1,1.605263158,japan 1,1.360008628,1000,Japan,momm_japan
2018,MUHI,japan,1000,1,2018,1,1.114754098,japan 1,1.360008628,1000,Japan,momm_japan
2017,RHCO,japan,1000,1,2017,1,0.866666667,japan 1,1.140440115,1000,Japan,momm_japan
2018,RHCO,japan,1000,1,2018,2,1.414213562,japan 1,1.140440115,1000,Japan,funn_japan
2002,BABA,hungary,1000,1,2002,4,1.136219366,hungary 1,1.096214408,1000,Hungary,kisa_hungary
2003,BABA,hungary,1000,1,2003,1,0.2,hungary 1,1.096214408,1000,Hungary,kisa_hungary
2004,BABA,hungary,1000,1,2004,1,1.5,hungary 1,1.096214408,1000,Hungary,kisa_hungary
2005,BABA,hungary,1000,1,2005,1,2,hungary 1,1.096214408,1000,Hungary,kisa_hungary
2011,BABA,hungary,1000,1,2011,6,0.741836376,hungary 1,1.096214408,1000,Hungary,kisa_hungary
2012,BABA,hungary,1000,1,2012,1,1,hungary 1,1.096214408,1000,Hungary,kisa_hungary
2002,MYNA,hungary,1000,1,2002,4,0.903602004,hungary 1,1.07849889,1000,Hungary,kisa_hungary
2002,MYNA,uk,1000,1,2002,6,0.846015991,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2003,MYNA,hungary,1000,1,2003,1,2.5,hungary 1,1.07849889,1000,Hungary,kisa_hungary
2003,MYNA,uk,1000,1,2003,3,1.233106037,uk 1,1.07849889,1000,United Kingdom,chas_uk
2003,MYNA,uk,1000,1,2003,1,2.090909091,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2004,MYNA,hungary,1000,1,2004,1,0.4,hungary 1,1.07849889,1000,Hungary,kisa_hungary
2004,MYNA,uk,1000,1,2004,1,0.565217391,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2006,MYNA,hungary,1000,1,2006,2,1.732050808,hungary 1,1.07849889,1000,Hungary,kisa_hungary
2006,MYNA,uk,1000,1,2006,2,2.148344622,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2006,MYNA,uk,1000,1,2006,20,0.935558729,uk 1,1.07849889,1000,United Kingdom,Gree_uk
2007,MYNA,uk,1000,1,2007,1,0.166666667,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2007,MYNA,uk,1000,1,2007,1,0.210526316,uk 1,1.07849889,1000,United Kingdom,Gree_uk
2008,MYNA,uk,1000,1,2008,5,0.939853764,uk 1,1.07849889,1000,United Kingdom,chas_uk
2008,MYNA,uk,1000,1,2008,1,1.225806452,uk 1,1.07849889,1000,United Kingdom,Lino_uk
2009,MYNA,uk,1000,1,2009,1,2,uk 1,1.07849889,1000,United Kingdom,Gouh_uk
2010,MYNA,uk,1000,1,2010,3,1.574060917,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2010,MYNA,uk,1000,1,2010,3,1.650963624,uk 1,1.07849889,1000,United Kingdom,Gree_uk
2010,MYNA,uk,1000,1,2010,7,1.574610106,uk 1,1.07849889,1000,United Kingdom,icko_uk
2011,MYNA,uk,1000,1,2011,3,0.713765856,uk 1,1.07849889,1000,United Kingdom,cock_uk
2011,MYNA,uk,1000,1,2011,1,1.461538462,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2011,MYNA,uk,1000,1,2011,1,0.555555556,uk 1,1.07849889,1000,United Kingdom,Gree_uk
2011,MYNA,uk,1000,1,2011,11,1,uk 1,1.07849889,1000,United Kingdom,ingl_uk
2011,MYNA,uk,1000,1,2011,3,0.699390805,uk 1,1.07849889,1000,United Kingdom,Lino_uk
2011,MYNA,uk,1000,1,2011,3,0.724920249,uk 1,1.07849889,1000,United Kingdom,Wesl_uk
2012,MYNA,uk,1000,1,2012,4,1.305988411,uk 1,1.07849889,1000,United Kingdom,chas_uk
2012,MYNA,uk,1000,1,2012,1,1.75,uk 1,1.07849889,1000,United Kingdom,cock_uk
2012,MYNA,uk,1000,1,2012,1,0.578947368,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2012,MYNA,uk,1000,1,2012,1,0.9,uk 1,1.07849889,1000,United Kingdom,Gree_uk
2012,MYNA,uk,1000,1,2012,1,1.153846154,uk 1,1.07849889,1000,United Kingdom,Lino_uk
2013,MYNA,hungary,1000,1,2013,7,0.77416857,hungary 1,1.07849889,1000,Hungary,kisa_hungary
2013,MYNA,uk,1000,1,2013,1,1.46875,uk 1,1.07849889,1000,United Kingdom,chas_uk
2013,MYNA,uk,1000,1,2013,15,1.105471374,uk 1,1.07849889,1000,United Kingdom,Chil_uk
2013,MYNA,uk,1000,1,2013,1,1.857142857,uk 1,1.07849889,1000,United Kingdom,cock_uk
2013,MYNA,uk,1000,1,2013,3,0.815162208,uk 1,1.07849889,1000,United Kingdom,icko_uk
2013,MYNA,uk,1000,1,2013,1,0.736842105,uk 1,1.07849889,1000,United Kingdom,ingl_uk
2013,MYNA,uk,1000,1,2013,1,1.8,uk 1,1.07849889,1000,United Kingdom,Lino_uk
2013,MYNA,uk,1000,1,2013,1,0.554347826,uk 1,1.07849889,1000,United Kingdom,Wesl_uk
2014,MYNA,uk,1000,1,2014,1,0.130434783,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2014,MYNA,uk,1000,1,2014,1,0.104166667,uk 1,1.07849889,1000,United Kingdom,Gree_uk
2014,MYNA,uk,1000,1,2014,1,1.357142857,uk 1,1.07849889,1000,United Kingdom,ingl_uk
2014,MYNA,uk,1000,1,2014,1,0.518518519,uk 1,1.07849889,1000,United Kingdom,Lino_uk
2015,MYNA,uk,1000,1,2015,2,1.354006401,uk 1,1.07849889,1000,United Kingdom,Chil_uk
2015,MYNA,uk,1000,1,2015,1,2.333333333,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2015,MYNA,uk,1000,1,2015,1,1.428571429,uk 1,1.07849889,1000,United Kingdom,Lino_uk
2016,MYNA,hungary,1000,1,2016,4,0.707106781,hungary 1,1.07849889,1000,Hungary,manm_hungary
2016,MYNA,uk,1000,1,2016,3,0.810240691,uk 1,1.07849889,1000,United Kingdom,chas_uk
2016,MYNA,uk,1000,1,2016,3,0.675106381,uk 1,1.07849889,1000,United Kingdom,cock_uk
2016,MYNA,uk,1000,1,2016,1,1.142857143,uk 1,1.07849889,1000,United Kingdom,Grea_uk
2016,MYNA,uk,1000,1,2016,1,0.526315789,uk 1,1.07849889,1000,United Kingdom,Gree_uk
2016,MYNA,uk,1000,1,2016,1,1.4,uk 1,1.07849889,1000,United Kingdom,Lino_uk
2017,MYNA,hungary,1000,1,2017,4,1,hungary 1,1.07849889,1000,Hungary,kisa_hungary
2017,MYNA,uk,1000,1,2017,1,0.44,uk 1,1.07849889,1000,United Kingdom,chas_uk
2017,MYNA,uk,1000,1,2017,3,0.374756177,uk 1,1.07849889,1000,United Kingdom,ingl_uk
2018,MYNA,hungary,1000,1,2018,1,2,hungary 1,1.07849889,1000,Hungary,kisa_hungary
2018,MYNA,hungary,1000,1,2018,2,1,hungary 1,1.07849889,1000,Hungary,manm_hungary
2018,MYNA,hungary,1000,1,2018,1,0.5,hungary 1,1.07849889,1000,Hungary,szoo_hungary
2018,MYNA,uk,1000,1,2018,1,0.818181818,uk 1,1.07849889,1000,United Kingdom,chas_uk
2018,MYNA,uk,1000,1,2018,1,0.391304348,uk 1,1.07849889,1000,United Kingdom,drov_uk
2018,MYNA,uk,1000,1,2018,1,2,uk 1,1.07849889,1000,United Kingdom,ingl_uk
2013,RHEU,hungary,1000,1,2013,8,1.259517028,hungary 1,1.074020172,1000,Hungary,be'_hungary
2015,RHEU,hungary,1000,1,2015,2,0.888523317,hungary 1,1.074020172,1000,Hungary,be'_hungary
2002,RHHI,hungary,1000,1,2002,4,1.189207115,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2003,RHHI,hungary,1000,1,2003,1,0.75,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2004,RHHI,hungary,1000,1,2004,1,2.333333333,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2005,RHHI,hungary,1000,1,2005,1,1.285714286,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2006,RHHI,hungary,1000,1,2006,1,0.888888889,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2010,RHHI,hungary,1000,1,2010,5,1.140569955,hungary 1,1.067318726,1000,Hungary,be'_hungary
2011,RHHI,hungary,1000,1,2011,5,0.757858283,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2012,RHHI,hungary,1000,1,2012,1,0.3,hungary 1,1.067318726,1000,Hungary,manm_hungary
2013,RHHI,hungary,1000,1,2013,3,0.458497844,hungary 1,1.067318726,1000,Hungary,be'_hungary
2013,RHHI,hungary,1000,1,2013,1,0.428571429,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2015,RHHI,hungary,1000,1,2015,2,0.559016994,hungary 1,1.067318726,1000,Hungary,be'_hungary
2015,RHHI,hungary,1000,1,2015,3,0.873580465,hungary 1,1.067318726,1000,Hungary,manm_hungary
2016,RHHI,hungary,1000,1,2016,1,1.666666667,hungary 1,1.067318726,1000,Hungary,macm_hungary
2016,RHHI,hungary,1000,1,2016,1,2.5,hungary 1,1.067318726,1000,Hungary,manm_hungary
2017,RHHI,hungary,1000,1,2017,2,2,hungary 1,1.067318726,1000,Hungary,be'_hungary
2017,RHHI,hungary,1000,1,2017,4,1.316074013,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2017,RHHI,hungary,1000,1,2017,1,0.2,hungary 1,1.067318726,1000,Hungary,macm_hungary
2017,RHHI,hungary,1000,1,2017,1,1,hungary 1,1.067318726,1000,Hungary,manm_hungary
2018,RHHI,hungary,1000,1,2018,1,1,hungary 1,1.067318726,1000,Hungary,kisa_hungary
2018,RHHI,hungary,1000,1,2018,1,1.2,hungary 1,1.067318726,1000,Hungary,manm_hungary
2018,RHHI,hungary,1000,1,2018,1,0.925925926,hungary 1,1.067318726,1000,Hungary,vass_hungary
2017,MIFU,japan,1000,1,2017,3,1.016396357,japan 1,1.065466451,1000,Japan,issh_japan
2017,MIFU,japan,1000,1,2017,1,1.114536546,japan 1,1.065466451,1000,Japan,rinn_japan
2002,PLAU,hungary,1000,1,2002,4,1.495348781,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2003,PLAU,hungary,1000,1,2003,1,1.6,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2004,PLAU,hungary,1000,1,2004,1,1,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2005,PLAU,hungary,1000,1,2005,1,1.25,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2006,PLAU,hungary,1000,1,2006,1,0.5,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2011,PLAU,hungary,1000,1,2011,5,0.832553207,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2012,PLAU,hungary,1000,1,2012,1,2,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2013,PLAU,hungary,1000,1,2013,1,0.25,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2017,PLAU,hungary,1000,1,2017,4,1,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2018,PLAU,hungary,1000,1,2018,1,1,hungary 1,1.031259632,1000,Hungary,kisa_hungary
2018,PLAU,hungary,1000,1,2018,7,1,hungary 1,1.031259632,1000,Hungary,manm_hungary
2006,MYMBA,uk,1000,1,2006,19,1,uk 1,1.030465238,1000,United Kingdom,Grea_uk
2011,MYMBA,uk,1000,1,2011,3,1.0527266,uk 1,1.030465238,1000,United Kingdom,cock_uk
2011,MYMBA,uk,1000,1,2011,3,1.866255578,uk 1,1.030465238,1000,United Kingdom,Wesl_uk
2012,MYMBA,uk,1000,1,2012,1,0.714285714,uk 1,1.030465238,1000,United Kingdom,cock_uk
2012,MYMBA,uk,1000,1,2012,1,0.384615385,uk 1,1.030465238,1000,United Kingdom,Wesl_uk
2013,MYMBA,uk,1000,1,2013,14,1,uk 1,1.030465238,1000,United Kingdom,chas_uk
2013,MYMBA,uk,1000,1,2013,1,2,uk 1,1.030465238,1000,United Kingdom,cock_uk
2013,MYMBA,uk,1000,1,2013,1,0.6,uk 1,1.030465238,1000,United Kingdom,Wesl_uk
2016,MYMBA,uk,1000,1,2016,3,0.584803548,uk 1,1.030465238,1000,United Kingdom,cock_uk
2010,MYEM,hungary,1000,1,2010,5,1.49627787,hungary 1,1.020059933,1000,Hungary,be'_hungary
2013,MYEM,hungary,1000,1,2013,3,0.873580465,hungary 1,1.020059933,1000,Hungary,be'_hungary
2015,MYEM,hungary,1000,1,2015,2,0.316227766,hungary 1,1.020059933,1000,Hungary,be'_hungary
2017,MYEM,hungary,1000,1,2017,2,1.414213562,hungary 1,1.020059933,1000,Hungary,be'_hungary
2018,MYEM,hungary,1000,1,2018,1,1,hungary 1,1.020059933,1000,Hungary,be'_hungary
2002,MYDAU,hungary,1000,1,2002,4,1.275884814,hungary 1,1.007399677,1000,Hungary,kisa_hungary
2002,MYDAU,uk,1000,1,2002,6,1.144714243,uk 1,1.007399677,1000,United Kingdom,Grea_uk
2003,MYDAU,hungary,1000,1,2003,1,1.132075472,hungary 1,1.007399677,1000,Hungary,kisa_hungary
2003,MYDAU,uk,1000,1,2003,3,1.107155245,uk 1,1.007399677,1000,United Kingdom,chas_uk
2003,MYDAU,uk,1000,1,2003,1,0.5,uk 1,1.007399677,1000,United Kingdom,Grea_uk
2004,MYDAU,hungary,1000,1,2004,1,0.6,hungary 1,1.007399677,1000,Hungary,kisa_hungary
2004,MYDAU,uk,1000,1,2004,1,1.222222222,uk 1,1.007399677,1000,United Kingdom,Grea_uk
2005,MYDAU,hungary,1000,1,2005,1,1.055555556,hungary 1,1.007399677,1000,Hungary,kisa_hungary
2006,MYDAU,hungary,1000,1,2006,1,0.710526316,hungary 1,1.007399677,1000,Hungary,kisa_hungary
2006,MYDAU,uk,1000,1,2006,2,1.044465936,uk 1,1.007399677,1000,United Kingdom,Grea_uk
2006,MYDAU,uk,1000,1,2006,20,0.887013778,uk 1,1.007399677,1000,United Kingdom,Gree_uk
2007,MYDAU,uk,1000,1,2007,1,0.25,uk 1,1.007399677,1000,United Kingdom,Grea_uk
2008,MYDAU,uk,1000,1,2008,5,1.166288655,uk 1,1.007399677,1000,United Kingdom,chas_uk
2008,MYDAU,uk,1000,1,2008,1,1,uk 1,1.007399677,1000,United Kingdom,Lino_uk
2010,MYDAU,uk,1000,1,2010,11,0.994817258,uk 1,1.007399677,1000,United Kingdom,ball_uk
2010,MYDAU,uk,1000,1,2010,3,1.587401052,uk 1,1.007399677,1000,United Kingdom,Grea_uk
2010,MYDAU,uk,1000,1,2010,4,1.189207115,uk 1,1.007399677,1000,United Kingdom,Gree_uk
2010,MYDAU,uk,1000,1,2010,7,1.442562919,uk 1,1.007399677,1000,United Kingdom,icko_uk
2011,MYDAU,hungary,1000,1,2011,5,0.864004327,hungary 1,1.007399677,1000,Hungary,kisa_hungary
2011,MYDAU,uk,1000,1,2011,3,0.658633756,uk 1,1.007399677,1000,United Kingdom,cock_uk
2011,MYDAU,uk,1000,1,2011,1,1.083333333,uk 1,1.007399677,1000,United Kingdom,Grea_uk
